group,region,observable,bin_low,bin_high,last_bin_includes_overflow,raw,sumw,sumw2
data,SR1b,electron_pt,25.0,35.0,False,9603,9603.0,9603.0
data,SR1b,electron_pt,35.0,45.0,False,12516,12516.0,12516.0
data,SR1b,electron_pt,45.0,60.0,False,15784,15784.0,15784.0
data,SR1b,electron_pt,60.0,80.0,False,15670,15670.0,15670.0
data,SR1b,electron_pt,80.0,110.0,False,11836,11836.0,11836.0
data,SR1b,electron_pt,110.0,150.0,False,6314,6314.0,6314.0
data,SR1b,electron_pt,150.0,200.0,False,2382,2382.0,2382.0
data,SR1b,electron_pt,200.0,300.0,True,1113,1113.0,1113.0
data,SR1b,muon_pt,25.0,35.0,False,12148,12148.0,12148.0
data,SR1b,muon_pt,35.0,45.0,False,13998,13998.0,13998.0
data,SR1b,muon_pt,45.0,60.0,False,16647,16647.0,16647.0
data,SR1b,muon_pt,60.0,80.0,False,13973,13973.0,13973.0
data,SR1b,muon_pt,80.0,110.0,False,10479,10479.0,10479.0
data,SR1b,muon_pt,110.0,150.0,False,5079,5079.0,5079.0
data,SR1b,muon_pt,150.0,200.0,False,1957,1957.0,1957.0
data,SR1b,muon_pt,200.0,300.0,True,937,937.0,937.0
data,SR1b,n_jets,1.5,2.5,False,41401,41401.0,41401.0
data,SR1b,n_jets,2.5,3.5,False,21993,21993.0,21993.0
data,SR1b,n_jets,3.5,4.5,False,8399,8399.0,8399.0
data,SR1b,n_jets,4.5,5.5,False,2557,2557.0,2557.0
data,SR1b,n_jets,5.5,6.5,False,686,686.0,686.0
data,SR1b,n_jets,6.5,7.5,True,182,182.0,182.0
data,SR1b,delta_phi,0.0,0.2617993877991494,False,3430,3430.0,3430.0
data,SR1b,delta_phi,0.2617993877991494,0.5235987755982988,False,3983,3983.0,3983.0
data,SR1b,delta_phi,0.5235987755982988,0.7853981633974483,False,4096,4096.0,4096.0
data,SR1b,delta_phi,0.7853981633974483,1.0471975511965976,False,4328,4328.0,4328.0
data,SR1b,delta_phi,1.0471975511965976,1.308996938995747,False,4864,4864.0,4864.0
data,SR1b,delta_phi,1.308996938995747,1.5707963267948966,False,5410,5410.0,5410.0
data,SR1b,delta_phi,1.5707963267948966,1.832595714594046,False,6108,6108.0,6108.0
data,SR1b,delta_phi,1.832595714594046,2.0943951023931953,False,7052,7052.0,7052.0
data,SR1b,delta_phi,2.0943951023931953,2.356194490192345,False,7944,7944.0,7944.0
data,SR1b,delta_phi,2.356194490192345,2.617993877991494,False,8818,8818.0,8818.0
data,SR1b,delta_phi,2.617993877991494,2.8797932657906435,False,9327,9327.0,9327.0
data,SR1b,delta_phi,2.8797932657906435,3.141592653589793,False,9858,9858.0,9858.0
data,SR1b,delta_eta,0.0,0.5,False,20163,20163.0,20163.0
data,SR1b,delta_eta,0.5,1.0,False,19072,19072.0,19072.0
data,SR1b,delta_eta,1.0,1.5,False,15178,15178.0,15178.0
data,SR1b,delta_eta,1.5,2.0,False,10589,10589.0,10589.0
data,SR1b,delta_eta,2.0,2.5,False,5875,5875.0,5875.0
data,SR1b,delta_eta,2.5,3.0,False,2820,2820.0,2820.0
data,SR1b,delta_eta,3.0,3.5,False,1104,1104.0,1104.0
data,SR1b,delta_eta,3.5,4.0,False,334,334.0,334.0
data,SR1b,delta_eta,4.0,4.5,False,76,76.0,76.0
data,SR1b,delta_eta,4.5,5.0,False,7,7.0,7.0
data,SR1b,m_emu,0.0,25.0,False,1397,1397.0,1397.0
data,SR1b,m_emu,25.0,50.0,False,5493,5493.0,5493.0
data,SR1b,m_emu,50.0,75.0,False,9345,9345.0,9345.0
data,SR1b,m_emu,75.0,100.0,False,12354,12354.0,12354.0
data,SR1b,m_emu,100.0,125.0,False,11755,11755.0,11755.0
data,SR1b,m_emu,125.0,150.0,False,9574,9574.0,9574.0
data,SR1b,m_emu,150.0,200.0,False,12350,12350.0,12350.0
data,SR1b,m_emu,200.0,300.0,False,9194,9194.0,9194.0
data,SR1b,m_emu,300.0,450.0,True,3756,3756.0,3756.0
data,SR1b,met,30.0,45.0,False,10470,10470.0,10470.0
data,SR1b,met,45.0,60.0,False,12195,12195.0,12195.0
data,SR1b,met,60.0,80.0,False,16641,16641.0,16641.0
data,SR1b,met,80.0,110.0,False,18834,18834.0,18834.0
data,SR1b,met,110.0,150.0,False,11512,11512.0,11512.0
data,SR1b,met,150.0,200.0,False,3942,3942.0,3942.0
data,SR1b,met,200.0,300.0,True,1624,1624.0,1624.0
data,SR1b,n_bjets,-0.5,0.5,False,0,0.0,0.0
data,SR1b,n_bjets,0.5,1.5,False,38273,38273.0,38273.0
data,SR1b,n_bjets,1.5,2.5,False,35179,35179.0,35179.0
data,SR1b,n_bjets,2.5,3.5,False,1655,1655.0,1655.0
data,SR1b,n_bjets,3.5,4.5,True,111,111.0,111.0
data,SR2b,electron_pt,25.0,35.0,False,4886,4886.0,4886.0
data,SR2b,electron_pt,35.0,45.0,False,6356,6356.0,6356.0
data,SR2b,electron_pt,45.0,60.0,False,7862,7862.0,7862.0
data,SR2b,electron_pt,60.0,80.0,False,7619,7619.0,7619.0
data,SR2b,electron_pt,80.0,110.0,False,5702,5702.0,5702.0
data,SR2b,electron_pt,110.0,150.0,False,2965,2965.0,2965.0
data,SR2b,electron_pt,150.0,200.0,False,1075,1075.0,1075.0
data,SR2b,electron_pt,200.0,300.0,True,480,480.0,480.0
data,SR2b,muon_pt,25.0,35.0,False,6177,6177.0,6177.0
data,SR2b,muon_pt,35.0,45.0,False,7064,7064.0,7064.0
data,SR2b,muon_pt,45.0,60.0,False,8202,8202.0,8202.0
data,SR2b,muon_pt,60.0,80.0,False,6910,6910.0,6910.0
data,SR2b,muon_pt,80.0,110.0,False,4958,4958.0,4958.0
data,SR2b,muon_pt,110.0,150.0,False,2339,2339.0,2339.0
data,SR2b,muon_pt,150.0,200.0,False,866,866.0,866.0
data,SR2b,muon_pt,200.0,300.0,True,429,429.0,429.0
data,SR2b,n_jets,1.5,2.5,False,17824,17824.0,17824.0
data,SR2b,n_jets,2.5,3.5,False,11876,11876.0,11876.0
data,SR2b,n_jets,3.5,4.5,False,4955,4955.0,4955.0
data,SR2b,n_jets,4.5,5.5,False,1679,1679.0,1679.0
data,SR2b,n_jets,5.5,6.5,False,478,478.0,478.0
data,SR2b,n_jets,6.5,7.5,True,133,133.0,133.0
data,SR2b,delta_phi,0.0,0.2617993877991494,False,1672,1672.0,1672.0
data,SR2b,delta_phi,0.2617993877991494,0.5235987755982988,False,1946,1946.0,1946.0
data,SR2b,delta_phi,0.5235987755982988,0.7853981633974483,False,1974,1974.0,1974.0
data,SR2b,delta_phi,0.7853981633974483,1.0471975511965976,False,2079,2079.0,2079.0
data,SR2b,delta_phi,1.0471975511965976,1.308996938995747,False,2424,2424.0,2424.0
data,SR2b,delta_phi,1.308996938995747,1.5707963267948966,False,2669,2669.0,2669.0
data,SR2b,delta_phi,1.5707963267948966,1.832595714594046,False,2945,2945.0,2945.0
data,SR2b,delta_phi,1.832595714594046,2.0943951023931953,False,3424,3424.0,3424.0
data,SR2b,delta_phi,2.0943951023931953,2.356194490192345,False,3982,3982.0,3982.0
data,SR2b,delta_phi,2.356194490192345,2.617993877991494,False,4364,4364.0,4364.0
data,SR2b,delta_phi,2.617993877991494,2.8797932657906435,False,4628,4628.0,4628.0
data,SR2b,delta_phi,2.8797932657906435,3.141592653589793,False,4838,4838.0,4838.0
data,SR2b,delta_eta,0.0,0.5,False,9777,9777.0,9777.0
data,SR2b,delta_eta,0.5,1.0,False,9347,9347.0,9347.0
data,SR2b,delta_eta,1.0,1.5,False,7527,7527.0,7527.0
data,SR2b,delta_eta,1.5,2.0,False,5246,5246.0,5246.0
data,SR2b,delta_eta,2.0,2.5,False,2917,2917.0,2917.0
data,SR2b,delta_eta,2.5,3.0,False,1409,1409.0,1409.0
data,SR2b,delta_eta,3.0,3.5,False,531,531.0,531.0
data,SR2b,delta_eta,3.5,4.0,False,159,159.0,159.0
data,SR2b,delta_eta,4.0,4.5,False,30,30.0,30.0
data,SR2b,delta_eta,4.5,5.0,False,2,2.0,2.0
data,SR2b,m_emu,0.0,25.0,False,694,694.0,694.0
data,SR2b,m_emu,25.0,50.0,False,2738,2738.0,2738.0
data,SR2b,m_emu,50.0,75.0,False,4665,4665.0,4665.0
data,SR2b,m_emu,75.0,100.0,False,6323,6323.0,6323.0
data,SR2b,m_emu,100.0,125.0,False,5719,5719.0,5719.0
data,SR2b,m_emu,125.0,150.0,False,4750,4750.0,4750.0
